millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
3492812, 1710499043, "2024/3/15 10:37:23",  -135,  97,  1076,  46,  2,  5,  6,  -4,  -41
3493012, 1710499044, "2024/3/15 10:37:24",  68,  182,  1023,  -37,  4,  6,  3,  -5,  -41
3493212, 1710499044, "2024/3/15 10:37:24",  -49,  -192,  912,  -28,  57,  6,  8,  2,  -42
3493412, 1710499044, "2024/3/15 10:37:24",  -340,  -74,  949,  59,  -24,  4,  10,  0,  -40
3493612, 1710499044, "2024/3/15 10:37:24",  10,  295,  1027,  -10,  -79,  5,  5,  -6,  -39
3493812, 1710499044, "2024/3/15 10:37:24",  178,  -216,  1109,  -34,  5,  4,  -3,  0,  -43
3494012, 1710499045, "2024/3/15 10:37:25",  -98,  -9,  1006,  54,  57,  4,  3,  -3,  -40
3494212, 1710499045, "2024/3/15 10:37:25",  -230,  253,  880,  -23,  -2,  4,  5,  -6,  -37
3494412, 1710499045, "2024/3/15 10:37:25",  -42,  -128,  956,  -57,  -42,  2,  2,  0,  -44
3494612, 1710499045, "2024/3/15 10:37:25",  110,  -216,  1181,  48,  17,  2,  -1,  2,  -43
3494812, 1710499045, "2024/3/15 10:37:25",  -230,  203,  1151,  47,  20,  2,  2,  -7,  -37
3495012, 1710499046, "2024/3/15 10:37:26",  -143,  218,  899,  -55,  -47,  1,  1,  -6,  -40
3495212, 1710499046, "2024/3/15 10:37:26",  116,  -186,  822,  -74,  -25,  0,  -3,  5,  -44
3495412, 1710499046, "2024/3/15 10:37:26",  48,  -343,  973,  74,  49,  -1,  -1,  4,  -45
3495612, 1710499046, "2024/3/15 10:37:26",  -242,  338,  1020,  74,  19,  -2,  3,  -9,  -37
3495812, 1710499046, "2024/3/15 10:37:26",  -31,  256,  889,  -81,  -19,  -2,  4,  -6,  -37
3496012, 1710499047, "2024/3/15 10:37:27",  -54,  -242,  889,  -69,  2,  -3,  1,  6,  -45
3496212, 1710499047, "2024/3/15 10:37:27",  -66,  -242,  1055,  68,  -11,  -4,  1,  6,  -45
3496412, 1710499047, "2024/3/15 10:37:27",  -2,  283,  1110,  45,  14,  -4,  1,  -6,  -39
3496612, 1710499047, "2024/3/15 10:37:27",  -198,  77,  1027,  -51,  -1,  -5,  4,  -5,  -40
3496812, 1710499047, "2024/3/15 10:37:27",  -55,  -242,  975,  10,  -41,  -6,  1,  1,  -43
3497012, 1710499048, "2024/3/15 10:37:28",  88,  104,  965,  53,  2,  -6,  -2,  -5,  -42
3497212, 1710499048, "2024/3/15 10:37:28",  -66,  229,  975,  -39,  34,  -5,  1,  -7,  -39
3497412, 1710499048, "2024/3/15 10:37:28",  -139,  -139,  940,  -61,  7,  -6,  5,  1,  -44
3497612, 1710499048, "2024/3/15 10:37:28",  -71,  -262,  997,  42,  -11,  -7,  5,  4,  -44
3497812, 1710499048, "2024/3/15 10:37:28",  -68,  152,  1030,  75,  -9,  -8,  4,  -5,  -39
3498012, 1710499049, "2024/3/15 10:37:29",  -67,  217,  964,  -24,  -14,  -7,  3,  -7,  -37
3498212, 1710499049, "2024/3/15 10:37:29",  60,  46,  859,  -67,  8,  -7,  3,  -3,  -42
3498412, 1710499049, "2024/3/15 10:37:29",  -26,  -201,  934,  -48,  48,  -6,  9,  6,  -44
3498612, 1710499049, "2024/3/15 10:37:29",  -323,  -264,  1158,  89,  -13,  -8,  10,  4,  -43
3498812, 1710499049, "2024/3/15 10:37:29",  7,  296,  1132,  72,  -61,  -7,  7,  -7,  -37
3499012, 1710499050, "2024/3/15 10:37:30",  143,  228,  961,  -49,  23,  -6,  4,  -9,  -38
3499212, 1710499050, "2024/3/15 10:37:30",  -171,  -148,  811,  -64,  36,  -7,  10,  -1,  -42
3499412, 1710499050, "2024/3/15 10:37:30",  -147,  -176,  843,  29,  -30,  -8,  10,  3,  -42
3499612, 1710499050, "2024/3/15 10:37:30",  126,  215,  935,  22,  1,  -6,  7,  -1,  -40
3499812, 1710499050, "2024/3/15 10:37:30",  -173,  125,  961,  -71,  34,  -5,  12,  3,  -42
3500012, 1710499051, "2024/3/15 10:37:31",  -157,  -268,  1009,  -26,  -47,  -7,  10,  12,  -44
3500212, 1710499051, "2024/3/15 10:37:31",  132,  -149,  1079,  86,  -4,  -7,  7,  8,  -46
3500412, 1710499051, "2024/3/15 10:37:31",  -146,  266,  1113,  45,  27,  -7,  9,  -5,  -40
3500612, 1710499051, "2024/3/15 10:37:31",  -117,  137,  1041,  -50,  -18,  -6,  10,  -1,  -40
3500812, 1710499051, "2024/3/15 10:37:31",  64,  -162,  933,  -30,  5,  -5,  9,  5,  -44
3501012, 1710499052, "2024/3/15 10:37:32",  -107,  28,  854,  12,  32,  -5,  13,  5,  -43
3501212, 1710499052, "2024/3/15 10:37:32",  -221,  4,  988,  -22,  -30,  -5,  15,  7,  -43
3501412, 1710499052, "2024/3/15 10:37:32",  106,  -193,  1164,  36,  -23,  -4,  9,  6,  -44
3501612, 1710499052, "2024/3/15 10:37:32",  -31,  119,  1043,  58,  36,  -3,  11,  -2,  -41
3501812, 1710499052, "2024/3/15 10:37:32",  -205,  276,  911,  -37,  1,  -3,  13,  -3,  -36
3502012, 1710499053, "2024/3/15 10:37:33",  -84,  -141,  944,  -75,  -38,  -3,  10,  5,  -44
3502212, 1710499053, "2024/3/15 10:37:33",  109,  -295,  1065,  50,  -3,  -3,  8,  9,  -45
3502412, 1710499053, "2024/3/15 10:37:33",  -58,  208,  993,  70,  48,  -3,  11,  -2,  -40
3502612, 1710499053, "2024/3/15 10:37:33",  -150,  215,  863,  -40,  13,  -2,  15,  -3,  -36
3502812, 1710499053, "2024/3/15 10:37:33",  -145,  -83,  808,  -59,  -22,  -2,  16,  3,  -40
3503012, 1710499054, "2024/3/15 10:37:34",  19,  -209,  982,  17,  -38,  -3,  10,  8,  -45
3503212, 1710499054, "2024/3/15 10:37:34",  138,  125,  1076,  45,  51,  -1,  10,  -1,  -42
3503412, 1710499054, "2024/3/15 10:37:34",  -325,  184,  939,  -35,  34,  -1,  18,  -1,  -37
3503612, 1710499054, "2024/3/15 10:37:34",  -172,  -114,  829,  -55,  -83,  -2,  13,  8,  -43
3503812, 1710499054, "2024/3/15 10:37:34",  320,  -277,  1087,  57,  2,  0,  7,  9,  -46
3504012, 1710499055, "2024/3/15 10:37:35",  -206,  270,  1145,  57,  69,  0,  11,  -3,  -39
3504212, 1710499055, "2024/3/15 10:37:35",  -256,  139,  928,  -52,  -46,  -1,  12,  -4,  -38
3504412, 1710499055, "2024/3/15 10:37:35",  191,  -140,  823,  -35,  -24,  -1,  7,  4,  -43
3504612, 1710499055, "2024/3/15 10:37:35",  -10,  -76,  949,  22,  57,  0,  10,  5,  -45
3504812, 1710499055, "2024/3/15 10:37:35",  -279,  73,  1070,  15,  -3,  0,  15,  4,  -40
3505012, 1710499056, "2024/3/15 10:37:36",  -12,  -18,  998,  2,  -41,  0,  10,  1,  -42
3505212, 1710499056, "2024/3/15 10:37:36",  57,  54,  952,  2,  8,  0,  9,  2,  -42
3505412, 1710499056, "2024/3/15 10:37:36",  -108,  70,  984,  -30,  16,  1,  11,  4,  -41
3505612, 1710499056, "2024/3/15 10:37:36",  -71,  -156,  1045,  -6,  2,  1,  12,  6,  -42
3505812, 1710499056, "2024/3/15 10:37:36",  -111,  -11,  1017,  40,  -9,  0,  12,  3,  -42
3506012, 1710499057, "2024/3/15 10:37:37",  -35,  137,  984,  8,  -26,  0,  10,  -2,  -40
3506212, 1710499057, "2024/3/15 10:37:37",  95,  39,  1007,  -32,  27,  2,  8,  0,  -42
3506412, 1710499057, "2024/3/15 10:37:37",  -195,  -74,  1016,  -18,  31,  2,  12,  6,  -42
3506612, 1710499057, "2024/3/15 10:37:37",  -159,  -69,  972,  19,  -36,  1,  12,  4,  -43
3506812, 1710499057, "2024/3/15 10:37:37",  79,  8,  980,  37,  -19,  1,  8,  0,  -42
3507012, 1710499058, "2024/3/15 10:37:38",  -26,  135,  1002,  2,  26,  2,  9,  -3,  -39
3507212, 1710499058, "2024/3/15 10:37:38",  -109,  79,  969,  -46,  14,  2,  11,  1,  -40
3507412, 1710499058, "2024/3/15 10:37:38",  -126,  -128,  969,  -34,  -8,  1,  14,  8,  -44
3507612, 1710499058, "2024/3/15 10:37:38",  -63,  -154,  1033,  45,  -29,  -1,  10,  5,  -43
3507812, 1710499058, "2024/3/15 10:37:38",  68,  149,  1047,  46,  7,  -1,  9,  -1,  -39
3508012, 1710499059, "2024/3/15 10:37:39",  -114,  125,  956,  -23,  27,  -1,  10,  -3,  -37
3508212, 1710499059, "2024/3/15 10:37:39",  -147,  -80,  979,  -25,  -20,  -1,  10,  0,  -41
3508412, 1710499059, "2024/3/15 10:37:39",  68,  8,  1017,  1,  -7,  -2,  10,  2,  -43
3508612, 1710499059, "2024/3/15 10:37:39",  -85,  13,  991,  -12,  27,  -2,  10,  3,  -43
3508812, 1710499059, "2024/3/15 10:37:39",  -191,  -72,  1042,  9,  -19,  -3,  10,  4,  -42
3509012, 1710499060, "2024/3/15 10:37:40",  37,  -7,  1132,  33,  -31,  -4,  9,  3,  -42
3509212, 1710499060, "2024/3/15 10:37:40",  -52,  110,  1176,  15,  16,  -4,  7,  -2,  -40
3509412, 1710499060, "2024/3/15 10:37:40",  -140,  19,  1097,  -21,  -24,  -4,  7,  -1,  -40
3509612, 1710499060, "2024/3/15 10:37:40",  52,  -11,  975,  -9,  -3,  -4,  4,  1,  -43
3509812, 1710499060, "2024/3/15 10:37:40",  -12,  -4,  883,  -10,  28,  -4,  7,  3,  -43
3510012, 1710499061, "2024/3/15 10:37:41",  -128,  -73,  1007,  13,  28,  -5,  11,  3,  -42
3510212, 1710499061, "2024/3/15 10:37:41",  -265,  69,  1086,  20,  -40,  -5,  13,  0,  -42
3510412, 1710499061, "2024/3/15 10:37:41",  36,  97,  985,  -26,  -67,  -5,  5,  1,  -43
3510612, 1710499061, "2024/3/15 10:37:41",  277,  -141,  998,  -9,  32,  -4,  1,  4,  -44
3510812, 1710499061, "2024/3/15 10:37:41",  -167,  27,  922,  28,  94,  -3,  11,  2,  -43
3511012, 1710499062, "2024/3/15 10:37:42",  -418,  114,  882,  -13,  -36,  -3,  17,  1,  -39
3511212, 1710499062, "2024/3/15 10:37:42",  107,  -80,  960,  -16,  -94,  -4,  7,  3,  -43
3511412, 1710499062, "2024/3/15 10:37:42",  304,  47,  1042,  8,  63,  -2,  4,  4,  -45
