millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
1663727, 1710334895, "2024/3/13 13:1:35",  1,  -59,  1003,  0,  0,  -1,  -10,  -26,  -37
1663927, 1710334895, "2024/3/13 13:1:35",  6,  -62,  1004,  0,  0,  0,  -10,  -27,  -37
1664128, 1710334896, "2024/3/13 13:1:36",  0,  -52,  1004,  0,  0,  -1,  -10,  -26,  -36
1664328, 1710334896, "2024/3/13 13:1:36",  7,  -61,  1005,  0,  0,  -1,  -12,  -27,  -36
1664528, 1710334896, "2024/3/13 13:1:36",  5,  -54,  1002,  0,  0,  -1,  -11,  -26,  -34
1664728, 1710334896, "2024/3/13 13:1:36",  3,  -62,  1004,  0,  0,  -1,  -11,  -26,  -34
1664928, 1710334896, "2024/3/13 13:1:36",  9,  -57,  1003,  0,  0,  -1,  -11,  -27,  -35
1665128, 1710334897, "2024/3/13 13:1:37",  8,  -57,  1010,  0,  -1,  -1,  -12,  -28,  -36
1665328, 1710334897, "2024/3/13 13:1:37",  2,  -61,  1001,  0,  0,  -1,  -10,  -25,  -36
1665528, 1710334897, "2024/3/13 13:1:37",  5,  -54,  1001,  0,  0,  -1,  -11,  -25,  -34
1665728, 1710334897, "2024/3/13 13:1:37",  0,  -57,  1003,  0,  0,  0,  -9,  -25,  -35
1665928, 1710334897, "2024/3/13 13:1:37",  7,  -57,  1002,  0,  0,  0,  -11,  -25,  -36
1666128, 1710334898, "2024/3/13 13:1:38",  4,  -56,  1001,  0,  0,  -1,  -9,  -25,  -36
1666328, 1710334898, "2024/3/13 13:1:38",  3,  -64,  1001,  0,  0,  0,  -10,  -25,  -35
1666528, 1710334898, "2024/3/13 13:1:38",  0,  -61,  1004,  0,  -1,  -1,  -11,  -25,  -36
1666728, 1710334898, "2024/3/13 13:1:38",  6,  -56,  1003,  0,  0,  0,  -10,  -25,  -36
1666928, 1710334898, "2024/3/13 13:1:38",  4,  -55,  1001,  0,  0,  0,  -11,  -26,  -36
1667128, 1710334899, "2024/3/13 13:1:39",  5,  -56,  1004,  0,  0,  -1,  -10,  -26,  -36
1667328, 1710334899, "2024/3/13 13:1:39",  1,  -58,  1004,  0,  0,  -1,  -11,  -26,  -36
1667528, 1710334899, "2024/3/13 13:1:39",  6,  -57,  1001,  0,  0,  -1,  -11,  -26,  -36
