millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
543883, 1709823028, "2024/3/7 14:50:28",  3,  6,  1000,  0,  0,  -1,  -22,  33,  -39
544083, 1709823029, "2024/3/7 14:50:29",  1,  9,  1000,  0,  0,  0,  -22,  31,  -37
544283, 1709823029, "2024/3/7 14:50:29",  4,  14,  1000,  0,  0,  -1,  -21,  32,  -39
544483, 1709823029, "2024/3/7 14:50:29",  2,  12,  1000,  0,  0,  0,  -21,  32,  -38
544683, 1709823029, "2024/3/7 14:50:29",  6,  14,  1000,  0,  0,  -1,  -22,  31,  -38
544883, 1709823029, "2024/3/7 14:50:29",  1,  10,  998,  0,  0,  0,  -22,  32,  -38
545083, 1709823030, "2024/3/7 14:50:30",  6,  8,  997,  0,  0,  -1,  -23,  32,  -39
545283, 1709823030, "2024/3/7 14:50:30",  -2,  5,  1002,  0,  0,  -1,  -22,  32,  -40
545483, 1709823030, "2024/3/7 14:50:30",  9,  9,  1002,  0,  0,  0,  -20,  34,  -39
545683, 1709823030, "2024/3/7 14:50:30",  1,  7,  999,  0,  0,  -1,  -21,  32,  -39
545883, 1709823030, "2024/3/7 14:50:30",  7,  11,  998,  0,  0,  0,  -23,  33,  -39
546083, 1709823031, "2024/3/7 14:50:31",  7,  7,  1000,  0,  0,  -1,  -20,  30,  -37
546283, 1709823031, "2024/3/7 14:50:31",  6,  8,  995,  0,  0,  0,  -20,  31,  -39
546483, 1709823031, "2024/3/7 14:50:31",  7,  11,  1003,  0,  0,  -1,  -20,  32,  -40
546683, 1709823031, "2024/3/7 14:50:31",  1,  11,  998,  0,  0,  0,  -21,  33,  -39
546883, 1709823031, "2024/3/7 14:50:31",  6,  15,  1002,  0,  0,  0,  -21,  32,  -40
547083, 1709823032, "2024/3/7 14:50:32",  -13,  10,  1009,  1,  0,  -1,  -19,  32,  -39
547283, 1709823032, "2024/3/7 14:50:32",  10,  18,  1000,  0,  0,  0,  -20,  31,  -38
547483, 1709823032, "2024/3/7 14:50:32",  -16,  10,  996,  0,  0,  -1,  -20,  32,  -40
