millis,stamp,datetime,accX,accY,accZ
787, 1707234463, "2024/2/6 15:47:43",  -265,  474,  665
1037, 1707234463, "2024/2/6 15:47:43",  -49,  -76,  872
1287, 1707234464, "2024/2/6 15:47:44",  131,  74,  1136
1537, 1707234464, "2024/2/6 15:47:44",  9,  -720,  908
1787, 1707234464, "2024/2/6 15:47:44",  174,  -213,  1024
2037, 1707234464, "2024/2/6 15:47:44",  770,  -33,  1364
2287, 1707234465, "2024/2/6 15:47:45",  358,  -121,  1157
2537, 1707234465, "2024/2/6 15:47:45",  290,  -287,  978
2787, 1707234465, "2024/2/6 15:47:45",  194,  -199,  1035
3037, 1707234465, "2024/2/6 15:47:45",  292,  -140,  1292
3287, 1707234466, "2024/2/6 15:47:46",  -87,  0,  970
3537, 1707234466, "2024/2/6 15:47:46",  -89,  -29,  988
3787, 1707234466, "2024/2/6 15:47:46",  -40,  -14,  1001
4037, 1707234466, "2024/2/6 15:47:46",  -46,  -81,  942
4287, 1707234467, "2024/2/6 15:47:47",  508,  165,  1509
4537, 1707234467, "2024/2/6 15:47:47",  6,  29,  990
4787, 1707234467, "2024/2/6 15:47:47",  -6,  -59,  1036
5037, 1707234467, "2024/2/6 15:47:47",  -134,  12,  975
5287, 1707234468, "2024/2/6 15:47:48",  -47,  -9,  1041
5537, 1707234468, "2024/2/6 15:47:48",  -35,  9,  1013
5787, 1707234468, "2024/2/6 15:47:48",  -21,  -10,  1020
6037, 1707234468, "2024/2/6 15:47:48",  -32,  26,  1012
6287, 1707234469, "2024/2/6 15:47:49",  -58,  -5,  1003
6537, 1707234469, "2024/2/6 15:47:49",  -68,  -10,  1004
6787, 1707234469, "2024/2/6 15:47:49",  -66,  29,  994
7037, 1707234469, "2024/2/6 15:47:49",  -77,  -7,  997
7287, 1707234470, "2024/2/6 15:47:50",  -58,  13,  1001
7537, 1707234470, "2024/2/6 15:47:50",  -46,  1,  1010
7787, 1707234470, "2024/2/6 15:47:50",  -46,  -2,  1007
8037, 1707234470, "2024/2/6 15:47:50",  -47,  26,  1000
8287, 1707234471, "2024/2/6 15:47:51",  -342,  39,  887
8537, 1707234471, "2024/2/6 15:47:51",  -54,  -39,  960
8787, 1707234471, "2024/2/6 15:47:51",  -184,  73,  927
9037, 1707234471, "2024/2/6 15:47:51",  71,  125,  882
9287, 1707234472, "2024/2/6 15:47:52",  -57,  5,  1017
9537, 1707234472, "2024/2/6 15:47:52",  -36,  -30,  1021
9787, 1707234472, "2024/2/6 15:47:52",  -13,  5,  994
10037, 1707234472, "2024/2/6 15:47:52",  -56,  62,  920
10287, 1707234473, "2024/2/6 15:47:53",  -55,  56,  1058
10537, 1707234473, "2024/2/6 15:47:53",  -148,  6,  1067
10787, 1707234473, "2024/2/6 15:47:53",  -51,  -4,  1023
11037, 1707234473, "2024/2/6 15:47:53",  -70,  24,  1011
11287, 1707234474, "2024/2/6 15:47:54",  -69,  20,  1006
11537, 1707234474, "2024/2/6 15:47:54",  -48,  30,  984
11787, 1707234474, "2024/2/6 15:47:54",  -9,  5,  1019
12037, 1707234474, "2024/2/6 15:47:54",  -36,  10,  1001
12288, 1707234475, "2024/2/6 15:47:55",  -46,  39,  1004
12538, 1707234475, "2024/2/6 15:47:55",  -68,  -27,  1037
