millis,stamp,datetime,accX,accY,accZ
805, 1706974705, "2024/2/3 15:38:25",  -238,  478,  923
1055, 1706974705, "2024/2/3 15:38:25",  -370,  460,  968
1305, 1706974705, "2024/2/3 15:38:25",  -105,  523,  745
1555, 1706974706, "2024/2/3 15:38:26",  75,  496,  811
1805, 1706974706, "2024/2/3 15:38:26",  -77,  491,  829
2055, 1706974706, "2024/2/3 15:38:26",  -85,  495,  829
2305, 1706974706, "2024/2/3 15:38:26",  -22,  438,  1080
2555, 1706974707, "2024/2/3 15:38:27",  92,  116,  761
2805, 1706974707, "2024/2/3 15:38:27",  270,  -87,  826
3055, 1706974707, "2024/2/3 15:38:27",  83,  -61,  901
3305, 1706974707, "2024/2/3 15:38:27",  -23,  -80,  929
3555, 1706974708, "2024/2/3 15:38:28",  38,  23,  965
3805, 1706974708, "2024/2/3 15:38:28",  17,  19,  1002
4055, 1706974708, "2024/2/3 15:38:28",  10,  22,  1003
4305, 1706974708, "2024/2/3 15:38:28",  19,  23,  1000
4555, 1706974709, "2024/2/3 15:38:29",  21,  8,  1001
4805, 1706974709, "2024/2/3 15:38:29",  18,  15,  1003
5055, 1706974709, "2024/2/3 15:38:29",  20,  14,  1005
5305, 1706974709, "2024/2/3 15:38:29",  16,  11,  1003
5555, 1706974710, "2024/2/3 15:38:30",  21,  19,  1007
5805, 1706974710, "2024/2/3 15:38:30",  20,  12,  1005
6055, 1706974710, "2024/2/3 15:38:30",  21,  14,  1004
6305, 1706974710, "2024/2/3 15:38:30",  20,  20,  1003
6555, 1706974711, "2024/2/3 15:38:31",  22,  12,  1006
6805, 1706974711, "2024/2/3 15:38:31",  17,  14,  1000
7055, 1706974711, "2024/2/3 15:38:31",  20,  14,  1002
7305, 1706974711, "2024/2/3 15:38:31",  18,  22,  1008
7555, 1706974712, "2024/2/3 15:38:32",  17,  21,  1005
7805, 1706974712, "2024/2/3 15:38:32",  19,  12,  1004
8055, 1706974712, "2024/2/3 15:38:32",  22,  15,  1001
8305, 1706974712, "2024/2/3 15:38:32",  23,  16,  1001
8555, 1706974713, "2024/2/3 15:38:33",  20,  13,  1002
8805, 1706974713, "2024/2/3 15:38:33",  18,  21,  1002
