millis,stamp,datetime,accX,accY,accZ
248, 1706803987, "2024/2/1 16:13:7",  48,  47,  1002
498, 1706803987, "2024/2/1 16:13:7",  54,  56,  1001
750, 1706803988, "2024/2/1 16:13:8",  54,  49,  996
999, 1706803988, "2024/2/1 16:13:8",  54,  47,  1000
1250, 1706803988, "2024/2/1 16:13:8",  51,  25,  1000
1499, 1706803988, "2024/2/1 16:13:8",  55,  8,  1000
1748, 1706803989, "2024/2/1 16:13:9",  51,  0,  1000
1999, 1706803989, "2024/2/1 16:13:9",  79,  61,  998
2248, 1706803989, "2024/2/1 16:13:9",  52,  19,  1015
2499, 1706803989, "2024/2/1 16:13:9",  61,  10,  1006
2750, 1706803990, "2024/2/1 16:13:10",  56,  -25,  1005
3000, 1706803990, "2024/2/1 16:13:10",  93,  -77,  1054
3249, 1706803990, "2024/2/1 16:13:10",  45,  -3,  1047
3499, 1706803990, "2024/2/1 16:13:10",  76,  -4,  1001
3749, 1706803991, "2024/2/1 16:13:11",  26,  -26,  979
3999, 1706803991, "2024/2/1 16:13:11",  34,  -37,  986
4249, 1706803991, "2024/2/1 16:13:11",  60,  -89,  993
4499, 1706803991, "2024/2/1 16:13:11",  67,  -56,  1000
4749, 1706803992, "2024/2/1 16:13:12",  52,  -80,  1009
4999, 1706803992, "2024/2/1 16:13:12",  52,  -75,  991
5250, 1706803992, "2024/2/1 16:13:12",  -50,  25,  1064
5498, 1706803992, "2024/2/1 16:13:12",  13,  -243,  1000
5748, 1706803993, "2024/2/1 16:13:13",  72,  -11,  1005
5999, 1706803993, "2024/2/1 16:13:13",  25,  -17,  1035
6249, 1706803993, "2024/2/1 16:13:13",  43,  -3,  1007
6500, 1706803993, "2024/2/1 16:13:13",  71,  54,  956
6749, 1706803994, "2024/2/1 16:13:14",  27,  52,  948
7000, 1706803994, "2024/2/1 16:13:14",  76,  24,  980
7248, 1706803994, "2024/2/1 16:13:14",  47,  28,  1037
7498, 1706803994, "2024/2/1 16:13:14",  53,  47,  1047
7750, 1706803995, "2024/2/1 16:13:15",  68,  29,  1021
7999, 1706803995, "2024/2/1 16:13:15",  20,  0,  981
8249, 1706803995, "2024/2/1 16:13:15",  61,  -20,  976
8500, 1706803995, "2024/2/1 16:13:15",  28,  -1,  1006
8749, 1706803996, "2024/2/1 16:13:16",  56,  30,  1040
8998, 1706803996, "2024/2/1 16:13:16",  70,  39,  1052
9248, 1706803996, "2024/2/1 16:13:16",  28,  43,  1020
9498, 1706803996, "2024/2/1 16:13:16",  84,  40,  977
9749, 1706803997, "2024/2/1 16:13:17",  30,  46,  970
10000, 1706803997, "2024/2/1 16:13:17",  67,  44,  1000
10249, 1706803997, "2024/2/1 16:13:17",  78,  34,  1041
10499, 1706803997, "2024/2/1 16:13:17",  21,  28,  1052
10748, 1706803998, "2024/2/1 16:13:18",  82,  13,  1025
10998, 1706803998, "2024/2/1 16:13:18",  35,  3,  983
11250, 1706803998, "2024/2/1 16:13:18",  48,  1,  977
11499, 1706803998, "2024/2/1 16:13:18",  64,  8,  1005
11750, 1706803999, "2024/2/1 16:13:19",  30,  17,  1047
11999, 1706803999, "2024/2/1 16:13:19",  86,  31,  1051
12249, 1706803999, "2024/2/1 16:13:19",  40,  44,  1018
12498, 1706803999, "2024/2/1 16:13:19",  46,  42,  975
12749, 1706804000, "2024/2/1 16:13:20",  64,  43,  969
13000, 1706804000, "2024/2/1 16:13:20",  20,  44,  1003
13249, 1706804000, "2024/2/1 16:13:20",  79,  35,  1044
13499, 1706804000, "2024/2/1 16:13:20",  43,  29,  1053
13749, 1706804001, "2024/2/1 16:13:21",  53,  15,  1017
14000, 1706804001, "2024/2/1 16:13:21",  65,  4,  983
14248, 1706804001, "2024/2/1 16:13:21",  30,  8,  979
14498, 1706804001, "2024/2/1 16:13:21",  79,  10,  1007
14750, 1706804002, "2024/2/1 16:13:22",  45,  15,  1044
15000, 1706804002, "2024/2/1 16:13:22",  48,  32,  1051
15249, 1706804002, "2024/2/1 16:13:22",  68,  44,  1013
15499, 1706804002, "2024/2/1 16:13:22",  26,  49,  976
15749, 1706804003, "2024/2/1 16:13:23",  66,  51,  973
16000, 1706804003, "2024/2/1 16:13:23",  42,  41,  1001
16249, 1706804003, "2024/2/1 16:13:23",  50,  36,  1039
16499, 1706804003, "2024/2/1 16:13:23",  73,  25,  1052
16749, 1706804004, "2024/2/1 16:13:24",  29,  14,  1023
16999, 1706804004, "2024/2/1 16:13:24",  65,  7,  979
17249, 1706804004, "2024/2/1 16:13:24",  39,  4,  979
17500, 1706804004, "2024/2/1 16:13:24",  43,  3,  1007
17748, 1706804005, "2024/2/1 16:13:25",  70,  20,  1043
17998, 1706804005, "2024/2/1 16:13:25",  36,  31,  1046
18248, 1706804005, "2024/2/1 16:13:25",  73,  38,  1010
18499, 1706804005, "2024/2/1 16:13:25",  48,  39,  976
18749, 1706804006, "2024/2/1 16:13:26",  51,  50,  972
19000, 1706804006, "2024/2/1 16:13:26",  69,  45,  1005
19250, 1706804006, "2024/2/1 16:13:26",  37,  30,  1040
19499, 1706804006, "2024/2/1 16:13:26",  65,  24,  1045
19748, 1706804007, "2024/2/1 16:13:27",  44,  14,  1015
19998, 1706804007, "2024/2/1 16:13:27",  42,  10,  986
